code,price,trailingPE,priceToBook,returnOnEquity,trailingEps,revenueGrowth,grossMargins,marketCap,freeCashflow,predicted_price,valuation_label
AAPL,223.26,35.494434,50.306442,1.3652,6.29,0.04,0.46519002,3353834160128.0,93833871360.0,212.69957,合理
NVDA,111.645,37.973095,34.446438,1.1917701,2.94,0.779,0.74988997,2724037918720.0,44169748480.0,111.47657,合理
AMD,105.91,105.91,2.984053,0.02893,1.0,0.242,0.53019,171625037824.0,3506249984.0,105.5438,合理
MSFT,389.9,31.443548,9.577028,0.34291,12.4,0.123,0.69408995,2898508644352.0,51958124544.0,390.06146,合理
GOOGL,163.08,20.283583,6.1257606,0.32908002,8.04,0.118,0.582,1999246721024.0,56580751360.0,152.15755,合理
META,605.05,25.326496,8.394728,0.37140998,23.89,0.206,0.81684,1532990849024.0,36095000576.0,608.0079,合理
TSLA,275.6199,135.05392,12.151994,0.1042,2.04,0.021,0.17863001,886183428096.0,-826875008.0,274.83313,合理
9988.HK,130.1,19.47605,0.30079326,0.102740005,6.68,0.076,0.38808998,2471913324544.0,96254246912.0,129.79237,合理
0700.HK,509.0,23.210215,4.794288,0.20385,21.93,0.111,0.52895,4640237682688.0,155350368256.0,508.9529,合理
3690.HK,162.8,26.864687,5.7750974,0.22066,6.06,0.201,0.38444,994647801856.0,42029056000.0,145.32228,高估
PFE,24.9699,17.70915,1.604337,0.09057,1.41,0.219,0.74193,141615546368.0,12777124864.0,32.673916,低估
MRK,87.48,12.979229,4.7743278,0.40789002,6.74,0.068,0.77095,220977987584.0,17829249024.0,88.71728,合理
JNJ,163.06,28.162348,5.489866,0.20056,5.79,0.053,0.69561,392950153216.0,16665749504.0,195.5288,低估
NVO,69.93,21.320122,2.1644125,0.80775,3.28,0.301,0.85,312723439616.0,61989376000.0,70.27741,合理
LLY,819.555,69.80878,51.831203,0.84264,11.74,0.447,0.8131,735951388672.0,1320087552.0,818.5132,合理
300274.SZ,71.8,15.14768,4.3237386,0.31706,4.74,0.064,0.30516002,148856487936.0,-3104014848.0,72.38736,合理
FSLR,126.3374,10.519351,1.6954627,0.17621,12.01,0.307,0.44169,13525935104.0,-363262368.0,127.64813,合理
1211.HK,407.4,27.48988,6.9460545,0.23822,14.82,0.527,0.19065,1246350540800.0,-371045504.0,407.64337,合理
LI,26.034,24.794287,0.36741605,0.12199,1.05,0.061,0.20528999,27601246208.0,7440316416.0,25.07507,合理
KO,70.6279,28.710527,12.22359,0.39549,2.46,0.064,0.61063,303952101376.0,14962124800.0,71.022026,合理
PG,168.2,26.783438,7.828717,0.31058002,6.28,0.021,0.51717,394403741696.0,11446250496.0,168.72426,合理
COST,940.58,54.97253,16.3179,0.32894,17.11,0.09,0.12675,417319387136.0,5603500032.0,939.915,合理
V,349.715,35.29062,18.285582,0.51191,9.91,0.101,0.97815,674632695808.0,13893749760.0,241.19553,高估
MA,557.945,40.168827,78.63918,1.90557,13.89,0.144,1.0,508682960896.0,14463750144.0,557.9275,合理
